,User,text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
83,@BBC,"Feeling stressed, agitated, overwhelmed? Here’s @DrRadha with some simple ways to avoid tipping into emotional burn… https://t.co/47eKjNZEOh",Mon Sep 28 16:01:00 +0000 2020,-0.6486,0.188,0.48,0.332,1
84,@BBC,RT @thehitlistshow: #TheHitList fans @Arabelladaho and @jaadindaho are going head-to-head in a music knowledge challenge! It's the perfect…,Fri Sep 25 16:23:12 +0000 2020,0.1511,0.086,0.914,0.0,1
85,@BBC,"""He absolutely adores football!"" ⚽🦙

Meet Oscar - the football-mad, pitch invading alpaca who interrupted a match i… https://t.co/duZXouUes1",Thu Sep 24 16:01:00 +0000 2020,0.2465,0.131,0.779,0.09,1
86,@BBC,"In this powerful and unflinching documentary, Freddie Flintoff goes on an acutely personal journey to explore the e… https://t.co/TEqTAfs6pw",Wed Sep 23 16:01:00 +0000 2020,0.4215,0.135,0.865,0.0,1
87,@BBC,"RT @bbcpress: WORLD EXCLUSIVE: To mark what would have been @JohnLennon’s 80th birthday, @SeanOnoLennon is in conversation with @JulianLenn…",Tue Sep 22 23:10:05 +0000 2020,0.3034,0.11,0.89,0.0,1
88,@BBC,"Paradise. Perversion. Sanctuary. Sin.

#BlackNarcissus, coming this December to @BBCOne and @BBCiPlayer.

https://t.co/3tc8VmHN1M",Tue Sep 22 16:01:00 +0000 2020,-0.1779,0.209,0.498,0.294,1
89,@BBC,"#Ghosts is BACK for a brand new series! 👻🙌

8:30pm | @BBCOne &amp; @BBCiPlayer.

👉 https://t.co/NNyJpkPHqB https://t.co/DoxSNuItcY",Mon Sep 21 19:01:00 +0000 2020,-0.3802,0.0,0.89,0.11,1
90,@BBC,RT @BBCNews: Ruth Bader Ginsburg: Supreme Court Justice dies https://t.co/WkPRyyr7iH,Sat Sep 19 08:50:20 +0000 2020,0.7906,0.467,0.533,0.0,1
91,@BBC,"RT @cbbc: Blue Peter is now on @YouTube 🥳 Go subscribe! https://t.co/FT7pmwQ0rl
#BluePeter #YouTube #Subscribe 
@adam_byt @linds_bluepeter…",Thu Sep 17 16:13:06 +0000 2020,0.4389,0.145,0.855,0.0,1
92,@BBC,"""In the midst of our busy lives, the natural world can offer us a place of tranquility and rest.""

Take 3 minutes a… https://t.co/0eLIbL5Tra",Thu Sep 17 16:01:00 +0000 2020,0.6486,0.194,0.806,0.0,1
93,@BBC,"Tonight on #SimpleComforts, Mary Berry discovers the hidden gems along the Thames. 🍽 

8pm | @BBCTwo &amp; @BBCiPlayer.… https://t.co/ui8szUaN6V",Wed Sep 16 18:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
94,@BBC,"It’s baaaaaaaaack! Who’s excited for more #Ghosts? 👻🙌

Series Two starts Monday, 8.30pm, @BBCOne, with all episodes… https://t.co/x1L2BeqGgx",Wed Sep 16 16:01:00 +0000 2020,-0.1206,0.103,0.774,0.123,1
95,@BBC,"""I do truly believe that together we can create a better future.""

Britain's favourite naturalist Sir David Attenbo… https://t.co/4vdx08cFmG",Tue Sep 15 16:01:00 +0000 2020,0.7845,0.331,0.669,0.0,1
96,@BBC,"RT @bbcpress: Seven Worlds, One Planet 🐋
An incredible Women's World Cup ⚽
The return of Gavin and Stacey ❤️
That drum solo 🥁😂

And so much…",Tue Sep 15 10:44:54 +0000 2020,0.4404,0.101,0.849,0.05,1
97,@BBC,"RT @bbcpress: 📺 10 TV services
▶️ BBC iPlayer
📻 10 national radio stations
📍 39 local radio stations
🎧 BBC Sounds
💻 1 of the UK's most popu…",Tue Sep 15 06:34:00 +0000 2020,0.34,0.072,0.928,0.0,1
98,@BBC,"The boys are back with a brand new series of @BBC_TopGear
 and here's a sneak peek of what they've been up to...

Y… https://t.co/x1lxJRTYrb",Mon Sep 14 16:01:00 +0000 2020,0.0,0.0,1.0,0.0,1
99,@BBC,Scientists believe that our destructive relationship with nature is putting us at greater risk of pandemic diseases… https://t.co/VoC78oqw2C,Mon Sep 14 13:30:00 +0000 2020,-0.5574,0.106,0.636,0.258,1
100,@CBS,"RT @CBSSports: Welcome to Saturday at #themasters
Round 2 coverage has resumed on @CBSAllAccess and our live streams.",Sat Nov 14 15:21:44 +0000 2020,0.4588,0.15,0.85,0.0,2
101,@CBS,RT @TheTalkCBS: We put @TheNeighborhood stars @TichinaArnold and @BethBehrs TV knowledge to the test with a fun game of 'Neighborhood Watch…,Fri Nov 13 23:53:57 +0000 2020,0.5106,0.142,0.858,0.0,2
102,@CBS,"The team is back in action... Safely, of course. Don't miss the @MacGyverCBS Season 5 Premiere December 4th at 8/7c… https://t.co/KJZZ3vjFPv",Fri Nov 13 23:24:06 +0000 2020,0.5638,0.196,0.804,0.0,2
103,@CBS,"RT @CBSAllAccess: Don't miss out on the powerful and thrilling Fall returns of @NCISLA, @NCISNewOrleans, and @swatcbs! Plus, it's a good we…",Fri Nov 13 22:53:27 +0000 2020,0.8603,0.369,0.631,0.0,2
